index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
56,Montclair State,7-3,0.5826,,0.7,0.5558,0.5188,134,0 - 0,0 - 0,0 - 0,7 - 3,girls,D3
57,Kenyon,5-5,0.5814,,0.5,0.6443,0.5369,62,0 - 0,0 - 0,0 - 1,5 - 4,girls,D3
58,Lake Forest,11-2,0.5763,,0.8462,0.4791,0.5008,148,0 - 0,0 - 0,0 - 1,11 - 1,girls,D3
59,Claremont-Mudd-Scripps,10-3,0.574,,0.7692,0.4856,0.5556,70,0 - 0,0 - 0,0 - 2,10 - 1,girls,D3
60,Rensselaer,4-6,0.573,,0.4,0.6657,0.5607,56,0 - 1,0 - 1,0 - 2,4 - 2,girls,D3
61,Otterbein,7-4,0.5729,,0.6364,0.561,0.5334,84,0 - 0,0 - 0,0 - 0,7 - 4,girls,D3
62,Salve Regina,8-6,0.5721,,0.5714,0.6063,0.5044,72,0 - 0,0 - 0,0 - 1,8 - 5,girls,D3
63,St. John Fisher,5-7,0.5711,,0.4167,0.6598,0.548,31,0 - 0,0 - 1,0 - 2,5 - 4,girls,D3
64,Carroll (WI),10-3,0.5708,,0.7692,0.4957,0.5226,102,0 - 0,0 - 0,0 - 1,10 - 2,girls,D3
65,Western Connecticut,8-5,0.5698,,0.6154,0.5577,0.5482,73,0 - 1,0 - 0,0 - 0,8 - 4,girls,D3
66,Framingham State,10-3,0.5684,,0.7692,0.4984,0.5076,111,0 - 0,0 - 0,0 - 1,10 - 2,girls,D3
67,DePauw,6-4,0.5658,,0.6,0.5675,0.5283,115,0 - 0,0 - 0,0 - 1,6 - 3,girls,D3
68,Swarthmore,7-4,0.5645,,0.6364,0.5313,0.5589,89,0 - 1,0 - 1,0 - 1,7 - 1,girls,D3
69,Union,6-4,0.5632,,0.6,0.5488,0.5552,101,0 - 0,0 - 1,0 - 2,6 - 1,girls,D3
70,Johnson & Wales,8-4,0.5631,,0.6667,0.5514,0.4829,146,0 - 0,0 - 1,0 - 0,8 - 3,girls,D3
71,Emmanuel (MA),10-4,0.5624,,0.7143,0.5271,0.481,123,0 - 0,0 - 0,0 - 0,10 - 4,girls,D3
72,Oswego,8-5,0.5603,,0.6154,0.5678,0.4903,98,0 - 0,0 - 0,0 - 0,8 - 5,girls,D3
73,Westfield State,8-6,0.5589,,0.5714,0.5517,0.5609,37,0 - 0,0 - 0,0 - 2,8 - 4,girls,D3
74,Ursinus,7-5,0.5579,,0.5833,0.5525,0.5432,68,0 - 0,0 - 1,0 - 1,7 - 3,girls,D3
75,Juniata,11-2,0.5578,,0.8462,0.4305,0.5242,150,0 - 0,0 - 0,0 - 0,11 - 2,girls,D3
76,Randolph-Macon,9-5,0.5567,,0.6429,0.5221,0.5398,75,0 - 0,0 - 1,0 - 1,9 - 3,girls,D3
77,Sewanee,11-6,0.5562,,0.6471,0.5377,0.5024,58,0 - 0,0 - 0,0 - 0,11 - 6,girls,D3
78,Aurora,6-6,0.5557,,0.5,0.6193,0.4843,88,0 - 0,0 - 0,0 - 0,6 - 6,girls,D3
79,St. Joseph's (ME),9-3,0.555,,0.75,0.4982,0.4735,179,0 - 0,0 - 0,0 - 0,9 - 3,girls,D3
80,Chapman,8-3,0.5546,,0.7273,0.4856,0.5201,147,0 - 0,0 - 0,0 - 2,8 - 1,girls,D3
81,Oglethorpe,8-4,0.5539,,0.6667,0.5299,0.4889,145,0 - 0,0 - 0,0 - 0,8 - 4,girls,D3
82,UW-LaCrosse,9-4,0.5515,,0.6923,0.5044,0.505,109,0 - 0,0 - 0,0 - 1,9 - 3,girls,D3
83,Baldwin Wallace,9-6,0.5496,,0.6,0.5453,0.5078,66,0 - 0,0 - 0,0 - 0,9 - 6,girls,D3
84,Brockport,7-5,0.5477,,0.5833,0.5275,0.5524,81,0 - 0,0 - 1,0 - 0,7 - 4,girls,D3
85,Oberlin,4-9,0.5477,,0.3077,0.6573,0.5683,25,0 - 0,0 - 1,0 - 0,4 - 8,girls,D3
86,Susquehanna,9-5,0.5473,,0.6429,0.4975,0.5514,74,0 - 0,0 - 0,0 - 1,9 - 4,girls,D3
87,Carthage,9-4,0.546,,0.6923,0.4881,0.5155,117,0 - 0,0 - 0,0 - 1,9 - 3,girls,D3
88,Rowan,4-9,0.5459,,0.3077,0.6616,0.5528,32,0 - 0,0 - 1,0 - 1,4 - 7,girls,D3
89,UW-River Falls,9-3,0.545,,0.75,0.4554,0.5192,143,0 - 0,0 - 0,0 - 1,9 - 2,girls,D3
