rank,team,w,l,rating,link,gender
362,Bridgewater-Raynham (MA),16,3,89.18,,boys
363,Oaks Christian (CA),12,6,89.18,,boys
364,Starr's Mill (GA),4,2,89.18,,boys
365,Weston (CT),13,3,89.17,,boys
366,Rock Canyon (CO),12,3,89.17,,boys
367,Creighton Prep (NE),1,0,89.16,,boys
368,Blessed Trinity (GA),12,3,89.16,,boys
369,Cambridge (GA),12,6,89.16,,boys
370,CBA Syracuse (NY),12,8,89.16,,boys
371,Lake Mary (FL),13,2,89.14,,boys
372,Tesoro (CA),6,1,89.12,,boys
373,Albany Academy (NY),3,2,89.11,,boys
374,Rutgers Prep (NJ),2,0,89.1,,boys
375,Winchester (MA),16,4,89.08,,boys
